CIGAF_ID,Site.Name,Site.Description,Niche.Category,Aquatic.Niche,Species,Latitude,Longitude,Citation.Number,Year.Collected,Month.Collected,Letter.Month,Day.Collected,Country,ISO.code,Complete_date,Date,Simp_date,Hemisphere,Year.of.Publication,DOI,Citation,Province,Strain.Number,Full.Month,Host.common.name,Host_family,Host.species,N,Note,name,phylum,class,order,family,genus,min_temp,max_temp,ave_temp,prec_avg,Eco_name,Biome_name,Realm
1,1,"HW AM010 km 24, Reserva Florestal Adolpho Ducke, Igrape I, Manaus county",Lotic,stream,Genistellospora tropicalis,-2.95,-59.95,1,2000,10,Oct,6,Brazil,BRA,6-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,BR-8-1  ,October,Blackflies,Simuliidae,Simulium goeldii,NA,NA,2558101,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,22.60458374,32.7492485,27.67691612,54.4874649,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
2,2,"HW AM010 km 24, Reserva Florestal Adolpho Ducke, Igrape I, Manaus county",Lotic,stream,Genistellospora tropicalis,-2.567,-60.1167,1,2000,10,Oct,NA,Brazil,BRA,NA,NA,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,October,Blackflies,Simuliidae,"Simulium ulyssesi, Simulium trombetense",2,"Range of collection dates given, no single date associated with this record.  10 or 14 October 2000. Unable to discern between insect hosts of site 2 and site 8 for this species of fungi collected in this paper. ",2558101,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,22.45812225,32.62678528,27.54245377,60.4192009,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
3,8,"HW AM240 km 12, Cachoeira Santuario, Presidente Figuiredo county",Lotic,falls,Genistellospora tropicalis,-2.05,-59.916667,1,2000,10,Oct,11,Brazil,BRA,11-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,October,Blackflies,Simuliidae,"Simulium ulyssesi, Simulium trombetense",2,Unable to discern between insect hosts specific to site 2 and site 8 for this species of fungi collected in this paper. ,2558101,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,22.34602165,32.76268387,27.55435276,66.62526703,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
4,9,"HW AM240 km 20, Pousada Sossego da Pantera, Igarape da Onca, Presidente Figueiredo county",Lotic,stream,Harpella amazonica,-2.033333,-59.833333,1,2000,10,Oct,11,Brazil,BRA,11-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,BR-7-1 ,October,Blackflies,Simuliidae,Simulium rorotaense,NA,NA,5250269,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,22.19829941,32.5669632,27.3826313,63.02654648,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
5,1,"HW AM010 km 24, Reserva Florestal Adolpho Ducke, Igrape I, Manaus county",Lotic,stream,Harpella amazonica,-2.95,-59.95,1,2000,10,Oct,6,Brazil,BRA,6-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,October,Blackflies,Simuliidae,Simulium goeldii,NA,"Range of collection dates given, no single date associated with this record.  10 or 14 October 2000. Unable to discern between insect hosts specific to site 1 and site 2 for this species of fungi collected in this paper. ",5250269,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,22.60458374,32.7492485,27.67691612,54.4874649,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
6,2,"HW AM010 km 24, Reserva Florestal Adolpho Ducke, Igrape I, Manaus county",Lotic,stream,Harpella amazonica,-2.567,-60.1167,1,2000,10,Oct,NA,Brazil,BRA,NA,NA,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,October,Blackflies,Simuliidae,Simulium goeldii,NA,Unable to discern between insect hosts specific to site 1 and site 2 for this species of fungi collected in this paper. ,5250269,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,22.45812225,32.62678528,27.54245377,60.4192009,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
7,7,"HW BR174 km 134, Road to Comunidade Castanhal, Igrape Canoas, Presidente Figueiredo county",Lotic,stream,Smittium aciculare,-1.766667,-60.466667,1,2000,11,Nov,11,Brazil,BRA,11-11-2000,01-11-2000,2000-Nov,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,November,Blackflies,Simuliidae,Simulium trombetense,NA,NA,2558001,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,23.18881035,31.90147591,27.54514313,171.8927002,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
8,8,"HW AM240 km 12, Cachoeira Santuario, Presidente Figuiredo county",Lotic,falls,Smittium aciculare,-2.05,-59.916667,1,2000,11,Nov,11,Brazil,BRA,11-11-2000,01-11-2000,2000-Nov,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,November,Blackflies,Simuliidae,Simulium trombetense,NA,NA,2558001,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,23.09731293,31.84197807,27.4696455,177.249054,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
9,2,"HW AM010 km 24, Reserva Florestal Adolpho Ducke, Igrape I, Manaus county",Lotic,stream,Smittium brasiliense,-2.567,-60.1167,1,2000,10,Oct,10,Brazil,BRA,10-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,BR-6-1 ,October,Blackflies,Simuliidae,Simulium goeldii,NA,NA,2558009,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,22.45812225,32.62678528,27.54245377,60.4192009,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
10,1,"HW AM010 km 24, Reserva Florestal Adolpho Ducke, Igrape I, Manaus county",Lotic,stream,Smittium brasiliense,-2.95,-59.95,1,2000,10,Oct,6,Brazil,BRA,6-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,October,Blackflies,Simuliidae,"Simulium goeldii, Simulium ulyssesi, Simulium rorotaense",2,Unable to discern between insect hosts specific to site 1 and site 10 for this species of fungi collected in this paper. ,2558009,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,22.60458374,32.7492485,27.67691612,54.4874649,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
11,10,"HW AM010 km 24, Igrape Acara, Reserva Florestal Adopho Ducke, Manaus country",Lotic,stream,Smittium brasiliense,-2.95,-59.95,1,2000,10,Oct,6,Brazil,BRA,6-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,October,Blackflies,Simuliidae,"Simulium goeldii, Simulium ulyssesi, Simulium rorotaense",2,Unable to discern between insect hosts specific to site 1 and site 10 for this species of fungi collected in this paper. ,2558009,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,22.60458374,32.7492485,27.67691612,54.4874649,Uatuma-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
12,5,"Bosque da Ciencia Paiol da Cultura, Inpa Campus, Av. Andre Araujo 2936, Manaus county",NA,forest,Stachylina paucispora,-3.1,-59.9,1,2000,10,Oct,10,Brazil,BRA,10-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,BR-9-1 ,October,Blackflies,Chironomidae,Cricotopus sp.,NA,NA,2557937,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Stachylina,23.08178711,33.27845383,28.18012047,52.17995453,Japura-Solimoes-Negro moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
13,4,"HW AM010, km 11, Reserva Particular de Associacao Brasil Soka Gakkai Internacional, RPPN, Av. Desembarcador Anisio Jobim, Estrada do Alexo, Manaus county ",NA,NA,Zancudomyces culisetae,-3.1,-59.9,1,2000,10,Oct,5,Brazil,BRA,5-10-2000,01-10-2000,2000-Oct,Southern Hemisphere,2003,https://doi.org/10.1590/s0074-02762003000600016,"Alencar Y., Rios-Velasquez C., Lichtwardt R., Hamada N. 2003",Amazonia,NA,October,Blackflies,Culicidae,Culex sp.,NA,NA,8386765,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Zancudomyces,23.08178711,33.27845383,28.18012047,52.17995453,Japura-Solimoes-Negro moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
14,2,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Genistellospora homothallica,34.656667,-82.82,2,1996,10,Oct,16,USA,USA,16-10-1996,01-10-1996,1996-Oct,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,October,Blackflies,Simuliidae,"Simulium vittatum, Simulium verecundum",2,NA,2558100,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Genistellospora,9.145534515,22.60147667,15.87350559,49.41366577,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
15,1,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Harpella melusinae,34.801667,-82.845,2,1999,9,Sep,1,USA,USA,1-9-1999,01-9-1999,1999-Sep,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,September,Blackflies,Simuliidae,Simulium pictipes,NA,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,13.82024574,28.3847847,21.10251522,74.76488495,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
16,2,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Harpella melusinae,34.656667,-82.82,2,1996,10,Oct,16,USA,USA,16-10-1996,01-10-1996,1996-Oct,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,October,Blackflies,Simuliidae,"Simulium vittatum, Simulium verecundum",2,NA,5250266,Zygomycota,Kickxellomycetes,Harpellales,Harpellaceae,Harpella,9.145534515,22.60147667,15.87350559,49.41366577,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
17,2,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Pennella simulii,34.656667,-82.82,2,1996,10,Oct,16,USA,USA,16-10-1996,01-10-1996,1996-Oct,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,October,Blackflies,Simuliidae,"Simulium vittatum, Simulium verecundum",2,NA,NA,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Pennella,9.145534515,22.60147667,15.87350559,49.41366577,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
18,2,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Smittium megazygosporum,34.656667,-82.82,2,1996,10,Oct,16,USA,USA,16-10-1996,01-10-1996,1996-Oct,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,October,Blackflies,Simuliidae,Simulium vittatum,NA,NA,2558011,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,9.145534515,22.60147667,15.87350559,49.41366577,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
19,3,"Six Mile Creek, Pickens County, Clemson University",Lotic,creek,Smittium megazygosporum,34.656667,-82.82,2,1997,2,Feb,24,USA,USA,24-2-1997,01-2-1997,1997-Feb,Northern Hemisphere,2000,https://doi.org/10.1080/00275514.2000.12061157,"Beard, C., & Adler, P. 2000",South Carolina,DP-16-10-96 ,February,Blackflies,Chironomidae,"Cricotopus sp., Orthocladius sp.",2,"Unable to discern between insect hosts specific to sites 3, 4, and 5  for this species of fungi collected in this paper. ",2558011,Zygomycota,Kickxellomycetes,Harpellales,Legeriomycetaceae,Smittium,3.130732536,14.8882122,9.00947237,155.8408508,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic
